Sigla;Provedor;MesReferencia;Categoria;Servico;ServicoCloud;Valor;CanaisDigitaisPJ
MBJ;AWS;jun/23;Compute;Virtual Server;EC2-Instances($);$25.364,39;MBJ
MBJ;AWS;jun/23;Database;In-Memory Data Store;ElastiCache($);$2.960,32;MBJ
MBJ;AWS;jun/23;Compute;Virtual Server;EC2-Other($);$2.656,45;MBJ
MBJ;AWS;jun/23;Application Services;Messaging Services;Managed Streaming for Apache Kafka($);$2.108,19;MBJ
MBJ;AWS;jun/23;Tax;Tax;Tax($);$1.593,57;MBJ
MBJ;AWS;jun/23;Management Tools;Logging & Monitoring;CloudWatch($);$1.026,57;MBJ
MBJ;AWS;jun/23;Networking & Content Delivery;Load Balancers;Elastic Load Balancing($);$303,17;MBJ
MBJ;AWS;jun/23;Security & Identity, Compliance;Cloud Security Assesment Service;GuardDuty($);$293,50;MBJ
MBJ;AWS;jun/23;Compute;Container Management Service;Elastic Container Service for Kubernetes($);$226,47;MBJ
MBJ;AWS;jun/23;Management Tools;Resource / Configuration Inventory;Config($);$140,05;MBJ
MBJ;AWS;jun/23;Security & Identity, Compliance;Key Management Services;Key Management Service($);$120,62;MBJ
MBJ;AWS;jun/23;Management Tools;Alerts and Remediation guidance Service;Security Hub($);$23,57;MBJ
MBJ;AWS;jun/23;Management Tools;Server Management Services;Systems Manager($);$5,79;MBJ
MBJ;AWS;jun/23;Compute;Event Driven Computing;Lambda($);$5,39;MBJ
MBJ;AWS;jun/23;Management Tools;Cloud Cost / Performance / Security Advisor;Cost Explorer($);$0,81;MBJ
MBJ;AWS;jun/23;Security & Identity, Compliance;Secrets lifecycle;Secrets Manager($);$0,34;MBJ
MBJ;AWS;jun/23;Storage;Storage;S3($);$0,16;MBJ
MBJ;AWS;jun/23;Disaster Recovery Services;Automated Disaster Recovery Services;Backup($);$0,12;MBJ
MBJ;AWS;jun/23;Storage;Storage;Elastic File System($);$0,11;MBJ
MBJ;AWS;jun/23;Compute;Container Registration Service;EC2 Container Registry (ECR)($);$0,04;MBJ
MBJ;AWS;jun/23;Application Services;Notification Service;SNS($);$0,00;MBJ
MBJ;AWS;jun/23;Application Services;Messaging Services;SQS($);$0,00;MBJ
MBJ;AWS;jun/23;Storage;Storage;Glacier($);$0,00;MBJ
MBJ;AWS;jun/23;Compute;Visual workflow;Step Functions($);$0,00;MBJ
IBE;AWS;jun/23;Compute;Virtual Server;EC2-Instances($);$880,15;IBE
